zip,cbsa,geo_name,rpp
60612,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60613,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60614,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60615,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60616,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60617,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60618,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60619,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60620,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60621,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60622,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60623,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60624,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60625,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60626,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60628,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60629,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60630,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60631,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60632,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60633,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60634,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60636,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60637,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60638,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60639,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60640,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60641,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60642,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60643,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60644,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60645,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60646,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60647,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60649,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60651,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60652,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60653,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60654,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60655,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60656,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60657,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60659,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60660,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60661,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60666,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60668,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60669,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60670,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60673,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60674,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60675,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60677,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60678,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60682,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60684,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60685,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60686,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60687,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60688,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60689,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60690,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60693,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60694,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60695,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60697,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60699,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60701,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60706,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60707,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60712,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60714,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60803,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60804,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60805,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60827,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60901,28100,"Kankakee, IL ",92.9
60910,28100,"Kankakee, IL ",92.9
60911,99999,NA,NA
60912,99999,NA,NA
60913,28100,"Kankakee, IL ",92.9
60914,28100,"Kankakee, IL ",92.9
60915,28100,"Kankakee, IL ",92.9
60917,99999,NA,NA
60917,28100,"Kankakee, IL ",92.9
60917,38700,NA,NA
60918,99999,NA,NA
60919,99999,NA,NA
60919,28100,"Kankakee, IL ",92.9
60919,38700,NA,NA
60920,38700,NA,NA
60921,38700,NA,NA
60921,99999,NA,NA
60922,28100,"Kankakee, IL ",92.9
60922,99999,NA,NA
60924,99999,NA,NA
60926,99999,NA,NA
60927,99999,NA,NA
60928,99999,NA,NA
60929,38700,NA,NA
60929,99999,NA,NA
60930,99999,NA,NA
60931,99999,NA,NA
60932,19180,"Danville, IL ",79.1
60933,99999,NA,NA
60934,38700,NA,NA
60935,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60935,28100,"Kankakee, IL ",92.9
